tool,source,risk,mutation_like,required_params,param_count,invoked,confirm_gate,grade,notes
retry_failed_campaign_deliveries,captain,high,true,campaign_id;_confirm,2,yes,pass,A,no-confirm gate OK
retry_failed_message,captain,high,true,message_id;_confirm,2,yes,pass,A,no-confirm gate OK
search_appointments,captain,low,false,,8,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
search_articles,captain,low,false,,4,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
search_available_slots,captain,low,false,from;to,6,yes,n/a,C,date-range validation string; should be structured error
search_canned_responses,captain,low,false,,2,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
search_companies,captain,low,false,,3,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
search_contacts,captain,low,false,,4,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
search_conversations,captain,low,false,,5,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
search_deals,captain,low,false,,11,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
search_documentation,captain,low,false,query,1,yes,n/a,C,slow-knowledge-path-13s
search_linear_issues,captain,low,false,term,2,yes,n/a,C,exposed-but-inactive/not-active
search_scheduling_resources,captain,low,false,,5,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
search_scheduling_services,captain,low,false,,3,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
search_tasks,captain,low,false,,7,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
send_kaspi_pay_phone,captain,medium,true,process_id;phone_number;_confirm,3,yes,pass,A,no-confirm gate OK
send_message_to_conversation,captain,high,true,_confirm,13,yes,pass,A,no-confirm gate OK
send_notification,captain,medium,true,message;_confirm,8,yes,pass,A,no-confirm gate OK
start_kaspi_pay_connection,captain,medium,true,_confirm,1,yes,pass,A,no-confirm gate OK
trace_ai_response,captain,low,false,,8,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
trace_message_delivery,captain,low,false,conversation_id,2,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
transition_deal_stage,captain,high,false,_confirm,7,yes,pass,A,no-confirm gate OK
translate_message,captain,low,false,message_id;target_language,2,yes,n/a,A,native/clear enough; runtime call passed or expected safe empty/not_found result
update_appointment,captain,high,true,_confirm,9,yes,pass,A,no-confirm gate OK
update_company,captain,medium,true,_confirm,4,yes,pass,A,no-confirm gate OK
update_contact,captain,medium,true,_confirm,6,yes,pass,C,no-confirm gate OK; exposed-but-inactive/not-active
update_deal,captain,medium,true,_confirm,14,yes,pass,A,no-confirm gate OK
update_label,captain,medium,true,label_id;_confirm,6,yes,pass,A,no-confirm gate OK
update_priority,captain,medium,true,priority;_confirm,2,yes,pass,C,no-confirm gate OK; exposed-but-inactive/not-active
update_task,captain,medium,true,_confirm,7,yes,pass,A,no-confirm gate OK
update_webhook,captain,high,true,webhook_id;_confirm,6,yes,pass,A,no-confirm gate OK
verify_kaspi_pay_otp,captain,high,true,process_id;otp;_confirm,7,yes,pass,A,no-confirm gate OK
